Name,Longnitude,Latitude,Opened,Latest,FileName
Aberporth,-4.57,52.139,1941,2025,aberporthdata
Armagh,-6.649,54.352,1853,2025,armaghdata
Ballypatrick Forest,-6.153,55.181,1961,2025,ballypatrickdata
Bradford,-1.772,53.813,1908,2025,bradforddata
Braemar No 2,-3.396,57.011,1959,2025,braemardata
Camborne,-5.327,50.218,1978,2025,cambornedata
Cambridge Niab,0.102,52.245,1959,2025,cambridgedata
Cardiff Bute Park,-3.187,51.488,1977,2025,cardiffdata
Chivenor,-4.147,51.089,1951,2025,chivenordata
Cwmystwyth,-3.802,52.358,1959,2011,cwmystwythdata
Dunstaffnage,-5.439,56.451,1971,2025,dunstaffnagedata
Durham,-1.585,54.768,1880,2025,durhamdata
Eastbourne,0.285,50.759,1959,2025,eastbournedata
Eskdalemuir,-3.205,55.312,1911,2025,eskdalemuirdata
Heathrow,-0.452,51.479,1948,2025,heathrowdata
Hurn,-1.835,50.779,1957,2025,hurndata
Lerwick,-1.183,60.139,1931,2025,lerwickdata
Leuchars,-2.861,56.377,1957,2025,leucharsdata
Lowestoft Monckton Avenue,1.727,52.483,1914,2010,lowestoftdata
Manston,1.337,51.346,1934,2025,manstondata
Nairn Druim,-3.821,57.593,1931,2014,nairndata
Newton Rigg,-2.786,54.67,1959,2025,newtonriggdata
Oxford,-1.262,51.761,1853,2025,oxforddata
Paisley,-4.43,55.846,1959,2011,paisleydata
Ringway,-2.279,53.356,1946,2004,ringwaydata
Ross-on-wye,-2.584,51.911,1931,2025,rossonwyedata
Shawbury,-2.663,52.794,1946,2025,shawburydata
Sheffield,-1.49,53.381,1883,2025,sheffielddata
Southampton Mayflower Park,-1.408,50.898,1855,2000,southamptondata
Stornoway Airport,-6.318,58.214,1873,2025,stornowaydata
Sutton Bonington,-1.25,52.836,1959,2025,suttonboningtondata
Tiree,-6.88,56.5,1928,2025,tireedata
Valley,-4.535,53.252,1931,2025,valleydata
Waddington,-0.522,53.175,1947,2025,waddingtondata
Whitby,-0.624,54.481,1961,2025,whitbydata
Wick Airport,-3.088,58.454,1914,2025,wickairportdata
Yeovilton,-2.641,51.006,1964,2025,yeoviltondata